pathway,n_genes,n_tested,median_member,median_reference,effect,pvalue,qvalue,sign
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,18,18,3.152641730957031,-0.0033727904510497952,3.1560145214080806,1.9518866409178804e-08,8.227202191468866e-06,1
REACTOME_INTERFERON_SIGNALING,49,49,0.4110164964294434,-0.0053215782165527276,0.4163380746459961,1.7986562958076456e-08,8.227202191468866e-06,1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,191,191,0.1391911593914032,-0.016889461822509763,0.15608062121391297,7.460333170955217e-07,0.0002096353621038416,1
REACTOME_REGULATION_BY_C_FLIP,6,6,1.207388427734375,-0.0009501647949218817,1.2083385925292969,3.665662239872665e-05,0.0077253831705316415,1
REACTOME_INTERFERON_GAMMA_SIGNALING,24,24,0.43478826110839847,-0.0027011932373046943,0.4374894543457032,8.965392925594158e-05,0.01511565247255175,1
REACTOME_MRNA_EDITING,5,5,1.4035097387695312,-0.0008648501586914076,1.4043745889282226,0.00020316268601907697,0.028544357385680313,1
REACTOME_REGULATION_OF_TP53_EXPRESSION_AND_DEGRADATION,6,6,0.6580242343139648,-0.0009501647949218817,0.6589743991088868,0.001715038301686907,0.2065396126174375,1
REACTOME_SIGNALING_BY_INTERLEUKINS,122,122,0.12668255769729614,-0.010311006469726547,0.13699356416702269,0.0022937694044825032,0.24170595099734377,1
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,7,7,1.1652784985351563,-0.0008648501586914076,1.1661433486938477,0.003156105871412409,0.2660597249600661,1
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,35,35,0.20200272987365722,-0.001372920303344724,0.20337565017700193,0.0029682322744989486,0.2660597249600661,1
REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,7,7,-0.6710238037109375,0.004103873786926268,-0.6751276774978637,0.004132927817919401,0.3167325591369141,-1
REACTOME_REGULATED_NECROSIS,15,15,0.8209540820312501,-0.001372920303344724,0.8223270023345948,0.004576983039111907,0.32153305849761143,1
REACTOME_TRIGLYCERIDE_CATABOLISM,5,5,-0.8708183642578124,0.0034641319656372044,-0.8742824962234497,0.005624676031466749,0.33868584960903353,-1
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS,11,11,0.2933564133453369,-0.001372920303344724,0.29472933364868165,0.005256585376428778,0.33868584960903353,1
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY,10,10,0.9033474084472657,-0.0009501647949218817,0.9042975732421876,0.007461010142302232,0.4062640116436015,1
REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS,11,11,0.8209540820312501,-0.0010324148559570367,0.8219864968872072,0.0077108234712901826,0.4062640116436015,1
REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER,5,5,0.6886191101074218,-0.0008648501586914076,0.6894839602661132,0.010042920755486802,0.48595860414221986,1
REACTOME_INFECTION_WITH_MYCOBACTERIUM_TUBERCULOSIS,6,6,0.43242838249206544,-0.0009501647949218817,0.4333785472869873,0.010513264437893117,0.48595860414221986,1
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,153,153,0.08484864990234375,-0.0046080825805664,0.08945673248291015,0.010952803652078503,0.48595860414221986,1
REACTOME_RAB_GERANYLGERANYLATION,7,7,-0.9061624389648437,0.0034641319656372044,-0.9096265709304809,0.013550655414701447,0.5627427732184094,-1
REACTOME_TNF_SIGNALING,9,9,0.2817278517532349,-0.001372920303344724,0.28310077205657963,0.014018503247433686,0.5627427732184094,1
REACTOME_TBC_RABGAPS,7,7,-0.6277127392578125,0.004103873786926268,-0.6318166130447387,0.017016505286247388,0.5795958379580509,-1
REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS,5,5,0.4538402685546875,-0.0008648501586914076,0.45470511871337893,0.017883384855598906,0.5795958379580509,1
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE,19,19,0.302051428565979,-0.0021661844635009753,0.30421761302947997,0.01856356776378099,0.5795958379580509,1
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,24,24,0.20440715261459352,-0.0027011932373046943,0.20710834585189822,0.017126456073534125,0.5795958379580509,1
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,17,17,0.18359282133340837,-0.0010324148559570367,0.1846252361893654,0.017858537971315435,0.5795958379580509,1
REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,25,25,0.17110813369750977,-0.0034523045730590757,0.17456043827056883,0.015915687320131752,0.5795958379580509,1
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,33,33,0.1828885037088394,-0.001372920303344724,0.18426142401218415,0.02070125364953369,0.6232556009484608,1
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN,7,7,-0.5721271069335937,0.003181695137023932,-0.5753088020706176,0.02349325956559203,0.6829247521997959,-1
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,56,56,0.12841949003219605,-0.0027011932373046943,0.13112068326950074,0.025616041242732455,0.719810758920782,1
