gene,proba_de,bf,lfc_mean,lfc_std,proba_up,detection_rate
IFIT2,0.99688,5.766797399813218,4.948557265625,1.863161704121523,0.99064,1.0
RSAD2,0.9964,5.6232149379259475,5.0187726171875,1.9128262208951279,0.9903,1.0
IFIT1,0.99636,5.612124956413297,4.82721208984375,2.0504671348052232,0.98834,1.0
ISG15,0.99564,5.430913689103244,4.7232101953125,1.920724691755967,0.98794,1.0
IFI6,0.99538,5.3727298687038045,3.849576494140625,1.5533386030611522,0.98992,1.0
ISG20,0.99512,5.317718113036654,3.33224705078125,1.6451956519468016,0.98986,1.0
IFIT3,0.99478,5.250024205288976,4.57039427734375,2.071818432771922,0.98442,1.0
LY6E,0.99354,5.035645005087934,3.35104013671875,1.5740914921113962,0.98726,1.0
TNFSF10,0.99206,4.827870314067727,3.9548483984375,1.7733499165777578,0.98218,1.0
CXCL10,0.98468,4.1631575509805,5.56972166015625,3.6511481289638614,0.93404,1.0
OASL,0.98274,4.041952903067058,2.96437669921875,1.5545115553619884,0.9752,1.0
IFITM3,0.98132,3.9614451713311336,3.764930869140625,2.1936625169091117,0.95812,1.0
CXCL11,0.98004,3.893863116274868,5.42708775390625,3.977628601648326,0.91518,1.0
APOBEC3B,0.9738,3.615446532981549,4.8834642578125,4.6438388415639285,0.84534,1.0
DEFB1,0.97084,3.5053637689946027,4.02218654296875,4.3320915605006665,0.81144,1.0
APOBEC3A,0.97026,3.485071135785899,4.029555556640625,4.075921002171983,0.81526,1.0
CD38,0.96998,3.4754116265228445,3.2128433984375,2.3934624974718264,0.90592,1.0
TNFSF13B,0.96992,3.4733530947877993,3.009467373046875,2.026205205998726,0.93522,1.0
CH25H,0.96712,3.3814580127057567,3.520544267578125,3.366069389978139,0.85916,1.0
IL1RN,0.9671,3.38082924495159,4.24530623046875,3.898122004990764,0.86024,1.0
S100B,0.967,3.377690933986813,-1.41540341796875,5.452077302680363,0.3994,1.0
TPST1,0.96614,3.35107437454278,-3.92199048828125,3.705809868531628,0.14672,1.0
ITGA10,0.96608,3.349241835594773,2.84332978515625,4.395111430082668,0.73734,1.0
GBP5,0.96518,3.322122678102076,2.339233779296875,1.5872027937881659,0.93766,1.0
IGFBP3,0.96468,3.30734706439211,2.430697939453125,4.471752281224703,0.71146,1.0
GBP4,0.96456,3.3038309130721744,2.259424482421875,1.5060776199436545,0.94984,1.0
