,lfc_mean,proba_de
AASDHPPT,-0.09487621,0.09487621
AASS,0.0,0.0
ABCA2,0.0,0.0
ABCA3,0.0,0.0
ABCA5,-0.021935927,0.021935927
ABCA7,0.01095614,0.01095614
ABCB1,0.0031187572,0.0031187572
ABCB4,0.0,0.0
ABCB6,0.009465334,0.009465334
ABCC5,0.007921017,0.007921017
ABCD4,-0.07019882,0.07019882
ABCE1,-0.04692793,0.04692793
ABCG1,-0.020559646,0.020559646
ABCG2,0.0,0.0
ABHD14B,-0.066773936,0.066773936
ABHD17A,-0.0023983978,0.0023983978
ABHD17B,0.025978737,0.025978737
ABHD3,-0.043875508,0.043875508
ABHD4,-0.010163706,0.010163706
ABHD5,-0.019555608,0.019555608
ABI1,0.020512208,0.020512208
ABLIM1,-0.06102617,0.06102617
ABLIM3,0.0,0.0
ACACA,-0.03301777,0.03301777
ACACB,0.0,0.0
ACAD8,0.01782386,0.01782386
ACAD9,0.022343315,0.022343315
ACADM,0.00948628,0.00948628
ACAT2,-0.033173714,0.033173714
ACBD4,0.0,0.0
ACD,-0.010514047,0.010514047
ACHE,0.0,0.0
ACKR3,0.009975063,0.009975063
ACOT4,-0.00879145,0.00879145
ACOXL,0.0,0.0
ACP5,-0.07675208,0.07675208
ACSF2,-0.0055410676,0.0055410676
ACSL6,0.0,0.0
ACSM1,-0.014480531,0.014480531
ACSM3,0.025837611,0.025837611
ACSS1,-0.009976279,0.009976279
ACTA2,0.048889607,0.048889607
ACTB,-0.62851834,0.62851834
ACTL6A,-0.015517283,0.015517283
ACTR1A,-0.03599313,0.03599313
ACTR1B,0.006141968,0.006141968
ACTR5,-0.018339561,0.018339561
ADA,0.051342517,0.051342517
ADAL,-0.017050916,0.017050916
ADAM12,0.0,0.0
ADAM21,0.0,0.0
ADAM8,0.034708604,0.034708604
ADAMTS10,-0.009695353,0.009695353
ADAMTS17,0.0,0.0
ADAMTSL5,0.0,0.0
ADARB1,0.01609382,0.01609382
ADAT1,0.0096691,0.0096691
ADAT2,0.0,0.0
ADCY1,0.0,0.0
ADD1,0.025568843,0.025568843
ADHFE1,0.0,0.0
ADK,0.045224562,0.045224562
ADM2,-0.003067396,0.003067396
ADO,0.030097319,0.030097319
ADORA3,-0.002952367,0.002952367
ADPRM,0.003649287,0.003649287
ADRB2,0.04221389,0.04221389
AFMID,-0.0036667828,0.0036667828
AGAP2,0.008265324,0.008265324
AGBL3,0.0,0.0
AGGF1,-0.026217552,0.026217552
AGK,0.0027604587,0.0027604587
AGL,-0.017073387,0.017073387
AGMAT,0.029638076,0.029638076
AGO2,-0.028886955,0.028886955
AGPAT4,0.026032148,0.026032148
AGPAT5,0.012074193,0.012074193
AGPS,-0.05351091,0.05351091
AHI1,-0.0548815,0.0548815
AK1,0.009333009,0.009333009
AK3,-0.03737417,0.03737417
AK9,-0.0106721725,0.0106721725
AKAP12,0.0,0.0
AKAP5,0.001517795,0.001517795
AKR1C3,-0.025028292,0.025028292
AKR7A2,-0.05226677,0.05226677
ALAS2,0.015174743,0.015174743
ALDH6A1,0.017426224,0.017426224
ALDH8A1,0.0,0.0
ALDH9A1,0.018822707,0.018822707
ALDOC,-0.009701658,0.009701658
ALG1,-0.008609293,0.008609293
ALG10B,0.01105039,0.01105039
ALG12,-0.011537755,0.011537755
ALG14,0.01696624,0.01696624
ALG3,-0.034731336,0.034731336
ALG8,0.015609331,0.015609331
ALKBH2,-0.011104828,0.011104828
ALMS1,-0.014288498,0.014288498
ALOX12,0.0,0.0
ALOX5AP,0.021354854,0.021354854
ALS2CL,0.0,0.0
AMFR,-0.008429357,0.008429357
AMPH,0.0,0.0
AMT,0.0,0.0
AMY2B,0.0,0.0
ANAPC1,0.00827021,0.00827021
ANAPC10,0.010285504,0.010285504
ANAPC5,-0.009456545,0.009456545
ANGPT2,-0.011499447,0.011499447
ANKH,-0.04840224,0.04840224
ANKRD26,0.026317213,0.026317213
ANLN,0.0,0.0
ANO9,-0.009953547,0.009953547
ANXA1,0.28567815,0.28567815
ANXA5,-0.091606855,0.091606855
AP3B1,0.045872238,0.045872238
AP3M1,0.01654793,0.01654793
AP4B1,0.007827433,0.007827433
APBB1,0.015301851,0.015301851
APEH,-0.037962176,0.037962176
APOA1,0.0,0.0
APOBEC3A,1.3027434,1.3027434
APOBEC3B,0.40975296,0.40975296
APOBEC3C,0.04894117,0.04894117
APOBEC3G,0.1878857,0.1878857
APOBEC3H,0.011592597,0.011592597
APOD,0.0,0.0
APOE,0.0,0.0
APOM,0.0,0.0
APOO,0.014172204,0.014172204
APP,-0.042813946,0.042813946
APPL1,0.021678962,0.021678962
AQP10,0.0,0.0
AQP11,7.1603805e-05,7.1603805e-05
AQP3,-0.07145571,0.07145571
ARAP2,0.10982254,0.10982254
ARC,0.0,0.0
AREG,0.005959011,0.005959011
ARFRP1,-0.036785126,0.036785126
ARHGAP11A,0.0,0.0
ARHGAP12,0.021787373,0.021787373
ARHGAP24,0.014680754,0.014680754
ARHGAP6,0.0,0.0
ARHGEF1,-0.034913555,0.034913555
ARHGEF10,0.0,0.0
ARHGEF12,-0.0072084703,0.0072084703
ARHGEF18,0.0,0.0
ARHGEF19,-0.009626001,0.009626001
ARHGEF26,0.0,0.0
ARHGEF28,0.0,0.0
ARHGEF35,0.0,0.0
ARHGEF4,0.0,0.0
ARHGEF40,0.0006830152,0.0006830152
ARHGEF7,0.00033557042,0.00033557042
ARHGEF9,-0.038257107,0.038257107
ARID4A,0.04425244,0.04425244
ARID4B,0.07641643,0.07641643
ARID5B,0.06825364,0.06825364
ARL1,-0.0068998486,0.0068998486
ARSD,-0.014261711,0.014261711
ARSG,0.02638745,0.02638745
ARV1,-0.016277507,0.016277507
ASB8,-0.031999942,0.031999942
ASCC1,0.013512254,0.013512254
ASNS,-0.0016589537,0.0016589537
ASPSCR1,-0.022400249,0.022400249
ASXL2,-0.008695884,0.008695884
ATF1,-0.025946818,0.025946818
ATF2,0.03266474,0.03266474
ATF6,-0.020266121,0.020266121
ATF7IP,0.05525974,0.05525974
ATG10,0.0069605177,0.0069605177
ATG16L1,-0.016350139,0.016350139
ATG4A,0.03441131,0.03441131
ATG4B,-0.05527358,0.05527358
ATIC,0.06171264,0.06171264
ATP11B,-0.043835815,0.043835815
ATP1A3,-0.020581895,0.020581895
ATP1B1,0.009743151,0.009743151
ATP2B4,0.013136698,0.013136698
ATP6V0A4,0.0,0.0
ATP6V0E2,-0.013303077,0.013303077
ATP6V1E2,0.009610606,0.009610606
ATP6V1G2,0.005581368,0.005581368
ATP6V1H,0.014261901,0.014261901
ATP8A1,-0.0001883246,0.0001883246
ATP8A2,0.0,0.0
ATP8B3,0.0,0.0
ATR,0.032431882,0.032431882
ATRX,-0.00051155686,0.00051155686
AUH,0.0124297,0.0124297
AUTS2,-0.0018900717,0.0018900717
AVP,0.0,0.0
B2M,0.374269,0.374269
B3GALT4,-0.05163799,0.05163799
B3GAT1,0.0,0.0
B3GAT3,0.023174293,0.023174293
B3GNT7,0.0,0.0
B3GNTL1,0.008584112,0.008584112
B4GALT7,0.034962647,0.034962647
BACE1,0.0,0.0
BAG3,-0.005831884,0.005831884
BAG5,0.05681005,0.05681005
BAMBI,-0.009377855,0.009377855
BASP1,-0.020434204,0.020434204
BATF,6.749481e-05,6.749481e-05
BAZ1B,0.00051971525,0.00051971525
BAZ2A,-0.018850025,0.018850025
BBC3,-0.020905491,0.020905491
BBIP1,-0.0624274,0.0624274
BBS1,0.0,0.0
BBS10,0.0,0.0
BBS4,0.015888667,0.015888667
BBS5,0.0,0.0
BBS7,0.023163393,0.023163393
BCAS2,-0.022135794,0.022135794
BCDIN3D,0.0019644164,0.0019644164
BCKDHB,0.0,0.0
BCL11A,0.026356522,0.026356522
BCL2,0.09016054,0.09016054
BCL2A1,0.07167636,0.07167636
BCL2L11,-0.0030496232,0.0030496232
BCL9,0.0,0.0
BCL9L,-0.020614523,0.020614523
BDH1,-0.0013144119,0.0013144119
BDH2,0.009469895,0.009469895
BDP1,-0.07713818,0.07713818
BEGAIN,0.0,0.0
BEST4,0.0,0.0
BHLHE40,-0.008993007,0.008993007
BHLHE41,0.0,0.0
BICD1,0.0081348,0.0081348
BIRC3,0.07197982,0.07197982
BLK,-0.0198125,0.0198125
BLM,-0.008186566,0.008186566
BLMH,0.01411666,0.01411666
BLNK,0.008411109,0.008411109
BLOC1S6,-0.04371124,0.04371124
BMS1,-0.054705247,0.054705247
BNIP1,0.01281981,0.01281981
BNIP2,-0.07147783,0.07147783
BRAF,-0.050966732,0.050966732
BRD1,0.0059343805,0.0059343805
