gene,proba_de,bf,lfc_mean,lfc_std,proba_up,detection_rate
IFI6,0.99986,8.873728125553848,4.27994279296875,1.023368443017887,0.99276,1.0
LY6E,0.9997,8.11142803829918,3.769471337890625,1.0881310546970253,0.99256,1.0
ISG15,0.99942,7.451902286158701,5.357236015625,1.3268127073518592,0.99374,1.0
RSAD2,0.99918,7.105385881322021,5.65124466796875,1.4402075966695818,0.9952,1.0
IFIT3,0.99912,7.034708263064724,5.7257344140625,1.1624955433765596,0.99504,1.0
ISG20,0.99912,7.034708263064724,3.4582890625,1.266703599976281,0.99184,1.0
IFIT2,0.9991,7.012215389396786,5.6526638671875,1.2219527922419327,0.99498,1.0
IFIT1,0.99904,6.9476168124073086,6.20145533203125,1.1026610777211578,0.99516,1.0
TNFSF10,0.99808,6.253508247379731,4.470833515625,1.5779849008907534,0.99214,1.0
CXCL11,0.99098,4.6992500184170884,6.62458080078125,3.6044379539562676,0.98316,1.0
CXCL10,0.99048,4.644794825309165,5.94824404296875,3.153602452796924,0.97964,1.0
MNDA,0.99,4.595119850134589,2.395040244140625,3.468976000864205,0.74786,1.0
IFI27,0.9878,4.394044296367315,3.65682109375,1.7789401350045626,0.98432,1.0
IFITM3,0.9871,4.337544040056214,3.946623076171875,2.0164483506595565,0.97662,1.0
CH25H,0.9829,4.05142892206397,5.050801484375,2.9047274086496118,0.94522,1.0
APOBEC3A,0.981,3.944133480398922,3.904509775390625,3.7268628175389082,0.8276,1.0
CD38,0.98098,3.943061014880455,3.9294513671875,2.2429587044311106,0.961,1.0
OASL,0.97826,3.8066216016810155,2.9062346484375,1.5502481442808953,0.96468,1.0
DEFB1,0.97804,3.7963279523526157,5.19970087890625,4.4686064999227195,0.84922,1.0
APOBEC3B,0.97666,3.7339699605227286,4.81883001953125,3.407365398899046,0.94054,1.0
ZNF704,0.97294,3.5822657925882515,-4.236226337890625,3.607881889233873,0.13594,1.0
IDO1,0.97194,3.5449489994857877,3.807261025390625,3.4564229342148693,0.86346,1.0
PRR5,0.97118,3.517442236441094,3.487533408203125,2.6847533537397985,0.88974,1.0
CLEC2D,0.97104,3.5124520945700297,0.9619499462890625,3.3540955020350824,0.74758,1.0
CLEC5A,0.97016,3.481611231012977,-4.0294501171875,3.990363827002199,0.16686,1.0
