pathway,n_genes,n_tested,median_member,median_reference,effect,pvalue,qvalue,sign
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,18,18,3.663293142089844,-0.003919585571289075,3.667212727661133,7.021823637008736e-10,5.919397325998365e-07,1
REACTOME_INTERFERON_SIGNALING,49,49,0.6330472526931763,-0.005559578857421893,0.6386068315505982,3.052583334313531e-07,0.00012866638754131535,1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,191,191,0.20292805725097657,-0.01513460662841798,0.21806266387939455,4.544403414806259e-06,0.001276977359560559,1
REACTOME_HSF1_ACTIVATION,15,15,0.5083876824951171,-0.0024984500122070263,0.5108861325073242,0.00019073734507054328,0.040197895473617,1
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,7,7,-0.597247021484375,0.0005578344726562268,-0.5978048559570313,0.0005154666358600873,0.08240354078917832,-1
REACTOME_ATTENUATION_PHASE,14,14,0.5079194563579559,-0.0023996643066406254,0.5103191206645965,0.000586502069673867,0.08240354078917832,1
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,33,33,0.4019750601196289,-0.004207713356018078,0.406182773475647,0.0007307480180363598,0.08800293988637875,1
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,16,16,0.5079194563579559,-0.0023996643066406254,0.5103191206645965,0.0008641284942238598,0.09105754007883922,1
REACTOME_INNATE_IMMUNE_SYSTEM,212,212,0.09420921524047851,-0.012457293701171879,0.10666650894165039,0.001320892783713106,0.12372362407446093,1
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,6,6,-0.6990229260253906,0.00047646484374996856,-0.6994993908691406,0.0016121660944737179,0.1359056017641344,-1
REACTOME_REGULATION_BY_C_FLIP,6,6,1.2463192309570312,-0.0011616494750976702,1.247480880432129,0.00198553108237108,0.15216388203989276,1
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,29,29,0.36933602365493773,-0.003258410644531251,0.372594434299469,0.0023379954529729333,0.16424418057134857,1
REACTOME_TNF_SIGNALING,9,9,0.5179725890159607,-0.002109395446777379,0.520081984462738,0.002663961902983645,0.17274768340117022,1
REACTOME_MUSCLE_CONTRACTION,27,27,0.41782279479980466,-0.0022926181030273607,0.42011541290283205,0.0030291733855751625,0.182399511717133,1
REACTOME_SIGNALING_BY_INTERLEUKINS,122,122,0.169988038482666,-0.007428029785156276,0.17741606826782227,0.0047621714312459625,0.26763403443602307,1
REACTOME_INTERFERON_GAMMA_SIGNALING,24,24,0.6373976633930206,-0.002033218994140662,0.6394308823871613,0.005399131783820047,0.2680620389683897,1
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,19,19,-0.42117114746093753,0.0014279266357421494,-0.4225990740966797,0.005723744604307254,0.2680620389683897,-1
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,38,38,0.40719479359626765,-0.004495841140747081,0.4116906347370147,0.005482313965787951,0.2680620389683897,1
