pathway,n_genes,n_tested,median_member,median_reference,effect,pvalue,qvalue,sign
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,18,18,0.8926638960838318,-5.758402403444052e-05,0.8927214801078662,3.449572320205726e-11,2.907989465933427e-08,1
REACTOME_INTERFERON_SIGNALING,49,49,0.016132935881614685,-6.660149665549397e-05,0.01619953737827018,5.397612623188342e-07,0.00022750937206738862,1
REACTOME_MRNA_SPLICING,44,44,-0.016643280163407326,6.476975977420807e-05,-0.016708049923181534,3.312930301885028e-05,0.006982000611222697,-1
REACTOME_TRANSLATION,52,52,-0.011906769126653671,6.476975977420807e-05,-0.01197153888642788,2.8330828402214987e-05,0.006982000611222697,-1
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,14,14,-0.03063132055103779,2.8627924621105194e-05,-0.030659948475658894,4.80191357773184e-05,0.008096026292055882,-1
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,6,6,-0.256639689207077,1.0591000318527222e-05,-0.25665028020739555,0.0002183740930557778,0.026298480063717242,-1
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,56,56,-0.008904166519641876,7.363385520875454e-05,-0.00897780037485063,0.00021331355509465876,0.026298480063717242,-1
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,56,56,0.003037162940017879,-6.859377026557922e-05,0.0031057567102834582,0.0015120992890776718,0.15933746258655967,1
REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING,5,5,0.11426340043544769,-8.604023605585098e-06,0.11427200445905328,0.004438374247860541,0.1796657784290649,1
REACTOME_REGULATION_BY_C_FLIP,6,6,0.07135377824306488,-1.4012097381055355e-05,0.07136779034044594,0.0034020138408392664,0.1796657784290649,1
REACTOME_REGULATED_NECROSIS,15,15,0.06423664838075638,-1.6200414393097162e-05,0.06425284879514948,0.0022963716972776824,0.1796657784290649,1
REACTOME_PD_1_SIGNALING,12,12,-0.060143232345581055,1.0591000318527222e-05,-0.06015382334589958,0.0026137455158451828,0.1796657784290649,-1
REACTOME_MRNA_EDITING,5,5,0.04468692094087601,-1.6200414393097162e-05,0.044703121355269104,0.0044756599608663855,0.1796657784290649,1
REACTOME_ATTENUATION_PHASE,14,14,0.040041608735919,-1.838873140513897e-05,0.04005999746732414,0.004063653900398668,0.1796657784290649,1
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,15,15,-0.01789594441652298,2.56379134953022e-05,-0.017921582330018282,0.004298304510433455,0.1796657784290649,-1
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,15,15,-0.01789594441652298,2.56379134953022e-05,-0.017921582330018282,0.004298304510433455,0.1796657784290649,-1
REACTOME_NEGATIVE_REGULATION_OF_FLT3,6,6,0.017758212983608246,-1.838873140513897e-05,0.017776601715013385,0.0037574968186993955,0.1796657784290649,1
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,28,28,-0.00990583747625351,3.487616777420044e-05,-0.00994071364402771,0.0038528362942098337,0.1796657784290649,-1
REACTOME_APOPTOSIS,33,33,0.007132411003112793,-2.9971706680953503e-05,0.0071623827097937465,0.0038889725737877344,0.1796657784290649,1
REACTOME_METABOLISM_OF_RNA,150,150,-0.005624612793326378,9.734451305121183e-05,-0.00572195730637759,0.0029438353640812835,0.1796657784290649,-1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,191,191,0.0018872320652008057,-0.00010292441584169865,0.0019901564810425043,0.002873822637730511,0.1796657784290649,1
