,lfc_mean,proba_de
AASDHPPT,-0.027571278,0.027571278
AASS,0.0,0.0
ABCA2,0.0,0.0
ABCA3,0.02248582,0.02248582
ABCA5,0.0,0.0
ABCA7,0.02191228,0.02191228
ABCB1,0.0,0.0
ABCB4,-0.0059694564,0.0059694564
ABCB6,0.0,0.0
ABCC5,0.0,0.0
ABCD4,-0.005709972,0.005709972
ABCE1,-0.013928324,0.013928324
ABCG1,-0.020073857,0.020073857
ABCG2,0.017930906,0.017930906
ABHD14B,-0.038035277,0.038035277
ABHD17A,0.033468638,0.033468638
ABHD17B,-0.022147005,0.022147005
ABHD3,0.009841621,0.009841621
ABHD4,0.0,0.0
ABHD5,-0.04199104,0.04199104
ABI1,-0.054699704,0.054699704
ABLIM1,-0.11900292,0.11900292
ABLIM3,0.0,0.0
ACACA,0.0,0.0
ACACB,0.0,0.0
ACAD8,0.026810678,0.026810678
ACAD9,-0.054351825,0.054351825
ACADM,0.06305302,0.06305302
ACAT2,0.02155099,0.02155099
ACBD4,-0.0063884603,0.0063884603
ACD,0.035908602,0.035908602
ACHE,0.0,0.0
ACKR3,0.0,0.0
ACOT4,0.01977847,0.01977847
ACOXL,0.0,0.0
ACP5,0.087000564,0.087000564
ACSF2,0.0,0.0
ACSL6,-0.03042842,0.03042842
ACSM1,0.0,0.0
ACSM3,-0.019802986,0.019802986
ACSS1,-0.075187705,0.075187705
ACTA2,0.028319605,0.028319605
ACTB,-0.28248692,0.28248692
ACTL6A,-0.044481993,0.044481993
ACTR1A,-0.042023998,0.042023998
ACTR1B,0.019959934,0.019959934
ACTR5,-0.015487919,0.015487919
ADA,0.04544708,0.04544708
ADAL,-0.021254515,0.021254515
ADAM12,-0.018328007,0.018328007
ADAM21,0.0,0.0
ADAM8,-0.077421695,0.077421695
ADAMTS10,0.0,0.0
ADAMTS17,0.0,0.0
ADAMTSL5,0.0,0.0
ADARB1,0.013642584,0.013642584
ADAT1,0.0,0.0
ADAT2,0.0088637555,0.0088637555
ADCY1,0.0,0.0
ADD1,-0.0021654135,0.0021654135
ADHFE1,0.02248582,0.02248582
ADK,-0.016838014,0.016838014
ADM2,0.0,0.0
ADO,0.02310736,0.02310736
ADORA3,-0.014200782,0.014200782
ADPRM,0.032754898,0.032754898
ADRB2,0.001041064,0.001041064
AFMID,0.0,0.0
AGAP2,-0.021994466,0.021994466
AGBL3,-0.021854945,0.021854945
AGGF1,0.0033866838,0.0033866838
AGK,0.0,0.0
AGL,-0.01544207,0.01544207
AGMAT,0.0,0.0
AGO2,0.0,0.0
AGPAT4,-0.049754545,0.049754545
AGPAT5,0.05213394,0.05213394
AGPS,-0.01469033,0.01469033
AHI1,-0.03847082,0.03847082
AK1,0.019983323,0.019983323
AK3,-0.00500975,0.00500975
AK9,0.0,0.0
AKAP12,0.0,0.0
AKAP5,-0.017326493,0.017326493
AKR1C3,-0.015036413,0.015036413
AKR7A2,-0.13195875,0.13195875
ALAS2,-0.017284112,0.017284112
ALDH6A1,-0.017813694,0.017813694
ALDH8A1,-0.018268852,0.018268852
ALDH9A1,-0.14226437,0.14226437
ALDOC,0.0,0.0
ALG1,-0.039334126,0.039334126
ALG10B,0.01176122,0.01176122
ALG12,0.040178344,0.040178344
ALG14,0.0,0.0
ALG3,-0.021450773,0.021450773
ALG8,-0.026135996,0.026135996
ALKBH2,-0.0044103153,0.0044103153
ALMS1,0.0,0.0
ALOX12,0.0,0.0
ALOX5AP,-0.01497817,0.01497817
ALS2CL,0.0,0.0
AMFR,-0.009067151,0.009067151
AMPH,0.0,0.0
AMT,0.0,0.0
AMY2B,0.0,0.0
ANAPC1,0.0,0.0
ANAPC10,-0.006128207,0.006128207
ANAPC5,-0.0075412244,0.0075412244
ANGPT2,0.0,0.0
ANKH,-0.044715032,0.044715032
ANKRD26,0.012214588,0.012214588
ANLN,0.0,0.0
ANO9,0.0,0.0
ANXA1,0.7226316,0.7226316
ANXA5,-0.06623775,0.06623775
AP3B1,0.00040255487,0.00040255487
AP3M1,0.032175362,0.032175362
AP4B1,-0.008711083,0.008711083
APBB1,0.0,0.0
APEH,-0.09355555,0.09355555
APOA1,0.0,0.0
APOBEC3A,1.0788951,1.0788951
APOBEC3B,0.43627,0.43627
APOBEC3C,-0.0040340684,0.0040340684
APOBEC3G,0.18919939,0.18919939
APOBEC3H,0.082206436,0.082206436
APOD,0.0,0.0
APOE,0.0,0.0
APOM,0.0,0.0
APOO,-0.040891025,0.040891025
APP,0.0007516667,0.0007516667
APPL1,0.034532033,0.034532033
AQP10,0.013302264,0.013302264
AQP11,0.01855099,0.01855099
AQP3,0.043389592,0.043389592
ARAP2,0.017158724,0.017158724
ARC,0.0,0.0
AREG,-0.003504105,0.003504105
ARFRP1,0.010276072,0.010276072
ARHGAP11A,0.0,0.0
ARHGAP12,-0.026479052,0.026479052
ARHGAP24,-0.07944034,0.07944034
ARHGAP6,0.027836757,0.027836757
ARHGEF1,-0.18623397,0.18623397
ARHGEF10,0.0,0.0
ARHGEF12,0.0,0.0
ARHGEF18,0.0,0.0
ARHGEF19,-0.018003324,0.018003324
ARHGEF26,0.0,0.0
ARHGEF28,0.0,0.0
ARHGEF35,0.0,0.0
ARHGEF4,0.0,0.0
ARHGEF40,0.033733714,0.033733714
ARHGEF7,-0.014654871,0.014654871
ARHGEF9,-0.019297836,0.019297836
ARID4A,-0.02836398,0.02836398
ARID4B,-0.021776408,0.021776408
ARID5B,-0.0396024,0.0396024
ARL1,-0.040647604,0.040647604
ARSD,-0.01984742,0.01984742
ARSG,0.085423365,0.085423365
ARV1,0.036639735,0.036639735
ASB8,0.011191271,0.011191271
ASCC1,-0.012446555,0.012446555
ASNS,0.03429291,0.03429291
ASPSCR1,-0.005604364,0.005604364
ASXL2,0.012286045,0.012286045
ATF1,-0.060085148,0.060085148
ATF2,-0.013493912,0.013493912
ATF6,-0.008621838,0.008621838
ATF7IP,-0.100338385,0.100338385
ATG10,0.012398669,0.012398669
ATG16L1,0.022392225,0.022392225
ATG4A,0.057066202,0.057066202
ATG4B,-0.041804977,0.041804977
ATIC,0.038297337,0.038297337
ATP11B,0.018371053,0.018371053
ATP1A3,0.0,0.0
ATP1B1,0.00944812,0.00944812
ATP2B4,-0.027488712,0.027488712
ATP6V0A4,0.0,0.0
