pathway,n_genes,n_tested,median_member,median_reference,effect,pvalue,qvalue,sign
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,18,18,0.9691445827484131,0.0,0.9691445827484131,7.786584899378717e-08,6.564091070176258e-05,1
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,6,6,-0.34402596950531006,0.0,-0.34402596950531006,0.000146819837147478,0.06188456135766198,-1
REACTOME_INTERFERON_SIGNALING,49,49,0.008488785475492477,0.0,0.008488785475492477,0.0002220297691902732,0.062390365142466764,1
REACTOME_INFECTION_WITH_MYCOBACTERIUM_TUBERCULOSIS,6,6,0.14519113674759865,0.0,0.14519113674759865,0.00048115610920999565,0.06795569978504237,1
REACTOME_ATTENUATION_PHASE,14,14,0.04447157680988312,0.0,0.04447157680988312,0.0004836704611035044,0.06795569978504237,1
REACTOME_HSF1_ACTIVATION,15,15,0.03766024112701416,0.0,0.03766024112701416,0.0003442146491832016,0.06795569978504237,1
REACTOME_REGULATION_BY_C_FLIP,6,6,0.113546933978796,0.0,0.113546933978796,0.0006159195997938398,0.07417431751802958,1
REACTOME_SULFUR_AMINO_ACID_METABOLISM,7,7,0.02481555938720703,0.0,0.02481555938720703,0.0007543124451532145,0.07649584894096279,1
REACTOME_MRNA_SPLICING,44,44,-0.02217116579413414,0.0,-0.02217116579413414,0.0008730864229804884,0.07649584894096279,-1
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,54,54,0.0,0.0,0.0,0.0009074240681015752,0.07649584894096279,0
REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS,5,5,0.0738825872540474,0.0,0.0738825872540474,0.0021603224671638086,0.15176265331825756,1
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,56,56,-0.020579354837536812,0.0,-0.020579354837536812,0.00200918498943165,0.15176265331825756,-1
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,5,5,-0.32297587394714355,0.0,-0.32297587394714355,0.0024647377123259246,0.15319281589734834,-1
REACTOME_REGULATED_NECROSIS,15,15,0.10410888493061066,0.0,0.10410888493061066,0.0029960478591216483,0.15319281589734834,1
REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE,5,5,0.03988651931285858,0.0,0.03988651931285858,0.0026516515386583585,0.15319281589734834,1
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION,5,5,0.03858952224254608,0.0,0.03858952224254608,0.002838949035005332,0.15319281589734834,1
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,56,56,0.0,0.0,0.0,0.003089297592235969,0.15319281589734834,0
REACTOME_REGULATION_OF_TP53_EXPRESSION_AND_DEGRADATION,6,6,0.10342728719115257,0.0,0.10342728719115257,0.003423313421158995,0.16032517855761294,1
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,8,8,0.027651538141071796,0.0,0.027651538141071796,0.003708949480356107,0.16456023220737884,1
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS,11,11,0.02580464631319046,0.0,0.02580464631319046,0.004247060811900527,0.17901361322160722,1
REACTOME_PARASITE_INFECTION,12,12,-0.033840288408100605,0.0,-0.033840288408100605,0.004764949968212161,0.19127870586680246,-1
REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING,5,5,0.2164996862411499,0.0,0.2164996862411499,0.005250405367994308,0.19243877066170442,1
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,16,16,0.036489684134721756,0.0,0.036489684134721756,0.005089329006359745,0.19243877066170442,1
REACTOME_PD_1_SIGNALING,12,12,-0.09851199388504028,0.0,-0.09851199388504028,0.005707686809090809,0.1924617874694349,-1
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY,10,10,0.06932045891880989,0.0,0.06932045891880989,0.005934154064166574,0.1924617874694349,1
REACTOME_STABILIZATION_OF_P53,5,5,0.038053616881370544,0.0,0.038053616881370544,0.005935950740457067,0.1924617874694349,1
