gene,proba_de,bf,lfc_mean,lfc_std,proba_up,detection_rate
ISG15,1.0,11.51291546492478,5.43641685546875,1.3227013581872007,0.99716,1.0
IFI6,1.0,11.51291546492478,4.34274322265625,1.0658058375347756,0.99712,1.0
LY6E,1.0,11.51291546492478,3.856809013671875,1.1157840457484953,0.99712,1.0
IFIT3,0.99984,8.740176729928775,5.83944810546875,1.1660245810176662,0.99736,1.0
IFIT2,0.99978,8.421662987408371,5.7439807421875,1.2073734078068514,0.99742,1.0
IFIT1,0.99976,8.334631605817599,6.317248671875,1.105769245341697,0.99744,1.0
RSAD2,0.99968,8.046869510959617,5.67374626953125,1.4411409825135852,0.99732,1.0
ISG20,0.99968,8.046869510959617,3.62443158203125,1.3276062678697143,0.99694,1.0
TNFSF10,0.9984,6.4361503683693995,4.6025208984375,1.5929473630101747,0.99574,1.0
MNDA,0.99138,4.7450128272153576,2.6201159375,3.5266108649535597,0.75284,1.0
CXCL10,0.99,4.595119850134589,6.1365671484375,3.222425795533181,0.97848,1.0
CXCL11,0.9893,4.526753880861312,6.8130570703125,3.6876382279739497,0.98064,1.0
CD38,0.9837,4.100155864705997,4.14911728515625,2.3683137403578156,0.95666,1.0
CH25H,0.98326,4.073072516552293,5.129773671875,3.1018989718538674,0.94416,1.0
IFITM3,0.98298,4.056199650914997,3.927862626953125,2.080947601012552,0.97574,1.0
APOBEC3A,0.98288,4.05023966670202,3.94572359375,3.9282750778617306,0.80122,1.0
IFI27,0.98226,4.014034062212873,3.573243798828125,1.8784754051853727,0.97794,1.0
OASL,0.98192,3.994703483676757,3.03684078125,1.5203419713873225,0.9765,1.0
DEFB1,0.97562,3.6893100422835174,5.00960173828125,4.5954505646954225,0.82578,1.0
CLEC5A,0.97182,3.5405580956558267,-4.3918605078125,4.0778559430682355,0.15276,1.0
CCL2,0.97074,3.501837271653324,2.10225607421875,3.9371031476563285,0.75938,1.0
LAG3,0.97068,3.4997269797994104,4.141530205078125,3.336301713413454,0.89202,1.0
APOBEC3B,0.97056,3.49551893063954,4.77726126953125,3.5261353552985835,0.91676,1.0
GBP5,0.97028,3.4857644697874632,2.35135037109375,1.4850350133754537,0.95368,1.0
IDO1,0.97,3.4760986898352724,3.9405269140625,3.5432414294045884,0.85838,1.0
CCL7,0.96866,3.4310184361981024,2.50793154296875,3.9079815663149415,0.77422,1.0
KRT2,0.96852,3.42641670957508,-2.2363367626953123,5.497216446990918,0.31502,1.0
TNFSF13B,0.9684,3.422488104471038,3.075141884765625,2.0974981576565495,0.93304,1.0
PRR5,0.9683,3.4192252757342523,3.562484404296875,2.8434174850242337,0.88802,1.0
CLEC2D,0.96646,3.3609011549509407,1.1843713330078125,3.5844056742696964,0.73456,1.0
ZNF704,0.96586,3.342549178806983,-3.893768212890625,3.7982499828746854,0.16662,1.0
