pathway,n_genes,n_tested,median_member,median_reference,effect,pvalue,qvalue,sign
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,18,18,3.7485054333496093,-0.003094053955078113,3.7515994873046874,8.443062289612696e-10,6.49058882218391e-07,1
REACTOME_INTERFERON_SIGNALING,49,49,0.5883689102935791,-0.005714446411132806,0.5940833567047119,1.5398787241242966e-09,6.49058882218391e-07,1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,191,191,0.21319146911621092,-0.011513234558105462,0.2247047036743164,4.464411745167288e-06,0.001254499700392008,1
REACTOME_INTERFERON_GAMMA_SIGNALING,24,24,0.5396490744829178,-0.002368470458984362,0.5420175449419021,0.00014754709161592038,0.03109554955805522,1
REACTOME_HSF1_ACTIVATION,15,15,0.5497124933242797,-0.0018769946289062533,0.551589487953186,0.00036841847550790375,0.06211535497063257,1
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,33,33,0.3402839390563965,-0.004065523071289073,0.3443494621276856,0.00046589476489522426,0.06545821446777901,1
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,7,7,-0.6047604211425781,0.0006406945800781216,-0.6054011157226562,0.0006698504539385368,0.08066913323859806,-1
REACTOME_REGULATION_BY_C_FLIP,6,6,1.0665583340454101,-0.0002479315185546782,1.0668062655639647,0.0008415443664290472,0.08321356432065413,1
REACTOME_ATTENUATION_PHASE,14,14,0.49611039808988566,-0.0013855187988281448,0.4974959168887138,0.0008884010425692611,0.08321356432065413,1
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,16,16,0.49611039808988566,-0.0013855187988281448,0.4974959168887138,0.0010977932117747548,0.09254396775261182,1
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,29,29,0.3260966360473633,-0.0035157904052734446,0.3296124264526367,0.0016859132721599025,0.12920226258461798,1
REACTOME_TNF_SIGNALING,9,9,0.4816929895210266,-0.0010074896240234443,0.4827004791450501,0.0030386124250006454,0.1999282635206111,1
REACTOME_INNATE_IMMUNE_SYSTEM,212,212,0.1627489370727539,-0.005652702636718743,0.16840163970947264,0.0030831167565456043,0.1999282635206111,1
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,6,6,-0.7674871179199219,0.0005810095214843769,-0.7680681274414063,0.0033231144366217954,0.2000989621480124,-1
REACTOME_REGULATED_NECROSIS,15,15,0.681940083618164,-0.0009189358520508006,0.6828590194702149,0.0035678649514660652,0.20051401027239285,1
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,8,8,-0.6845802233886717,0.0007003796386718664,-0.6852806030273436,0.004112708378042401,0.20394195074645552,-1
REACTOME_KERATINIZATION,8,8,-0.6845802233886717,0.0007003796386718664,-0.6852806030273436,0.004112708378042401,0.20394195074645552,-1
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,19,19,-0.2922652502441407,0.002505720214843743,-0.2947709704589844,0.0051940897390183784,0.24325653611069406,-1
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,17,17,0.3260966360473633,-0.0012124865722656364,0.3273091226196289,0.005828328267894984,0.2585937226229196,1
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS,5,5,-0.4760922790527344,0.0006406945800781216,-0.47673297363281253,0.006970120207165507,0.2937905667320261,-1
