,lfc_mean,proba_de
AASDHPPT,-0.014991,0.014991
AASS,0.0,0.0
ABCA2,0.0,0.0
ABCA3,0.0034953041,0.0034953041
ABCA5,-0.003004638,0.003004638
ABCA7,-0.0074314503,0.0074314503
ABCB1,-0.0042833537,0.0042833537
ABCB4,0.0032059138,0.0032059138
ABCB6,0.0,0.0
ABCC5,-0.0004618168,0.0004618168
ABCD4,-0.0047809593,0.0047809593
ABCE1,0.02353055,0.02353055
ABCG1,0.0025542974,0.0025542974
ABCG2,0.009010935,0.009010935
ABHD14B,-0.011162423,0.011162423
ABHD17A,-0.016552342,0.016552342
ABHD17B,0.0013496652,0.0013496652
ABHD3,0.023075864,0.023075864
ABHD4,0.0029707125,0.0029707125
ABHD5,-0.016453031,0.016453031
ABI1,0.009673223,0.009673223
ABLIM1,-0.0058933944,0.0058933944
ABLIM3,0.0,0.0
ACACA,-0.007850158,0.007850158
ACACB,0.0,0.0
ACAD8,-0.007724464,0.007724464
ACAD9,0.0026974026,0.0026974026
ACADM,0.04205621,0.04205621
ACAT2,-0.0112445615,0.0112445615
ACBD4,-0.013606972,0.013606972
ACD,-0.00719361,0.00719361
ACHE,-0.0010667802,0.0010667802
ACKR3,0.0,0.0
ACOT4,-0.014799024,0.014799024
ACOXL,0.0,0.0
ACP5,-0.0051210076,0.0051210076
ACSF2,-0.0068195662,0.0068195662
ACSL6,-0.017252017,0.017252017
ACSM1,0.0,0.0
ACSM3,0.013726941,0.013726941
ACSS1,-0.008931374,0.008931374
ACTA2,0.041540623,0.041540623
ACTB,-0.61676955,0.61676955
ACTL6A,0.0053273886,0.0053273886
ACTR1A,-0.033636555,0.033636555
ACTR1B,-0.017042719,0.017042719
ACTR5,-1.1915341e-05,1.1915341e-05
ADA,-0.0775373,0.0775373
ADAL,-0.018186342,0.018186342
ADAM12,-0.0036293084,0.0036293084
ADAM21,0.0,0.0
ADAM8,-0.0514054,0.0514054
ADAMTS10,0.0032861663,0.0032861663
ADAMTS17,0.0,0.0
ADAMTSL5,0.0,0.0
ADARB1,0.00827116,0.00827116
ADAT1,-0.0075816885,0.0075816885
ADAT2,0.0056852973,0.0056852973
ADCY1,0.0,0.0
ADD1,0.017774597,0.017774597
ADHFE1,0.0,0.0
ADK,0.025778867,0.025778867
ADM2,0.0022093228,0.0022093228
ADO,-0.012791801,0.012791801
ADORA3,-0.0068901903,0.0068901903
ADPRM,0.019134788,0.019134788
ADRB2,0.0143411495,0.0143411495
AFMID,0.0,0.0
AGAP2,-0.008043949,0.008043949
AGBL3,0.007854233,0.007854233
AGGF1,-0.02552441,0.02552441
AGK,0.016453052,0.016453052
AGL,0.003109093,0.003109093
AGMAT,0.001135515,0.001135515
AGO2,-0.011778357,0.011778357
AGPAT4,0.011243602,0.011243602
AGPAT5,0.010424003,0.010424003
AGPS,-0.042010836,0.042010836
AHI1,0.0058824047,0.0058824047
AK1,-0.0014451845,0.0014451845
AK3,0.001784984,0.001784984
AK9,-0.002516794,0.002516794
AKAP12,-0.008694675,0.008694675
AKAP5,-0.004090708,0.004090708
AKR1C3,-0.0070196316,0.0070196316
AKR7A2,-0.10478333,0.10478333
ALAS2,-0.003264266,0.003264266
ALDH6A1,-0.01499174,0.01499174
ALDH8A1,-0.0036175943,0.0036175943
ALDH9A1,-0.04025597,0.04025597
