pathway,n_genes,n_tested,median_member,median_reference,effect,pvalue,qvalue,sign
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,18,18,3.723323420410156,-0.005181180419921827,3.728504600830078,8.331542172143279e-10,7.023490051116784e-07,1
REACTOME_INTERFERON_SIGNALING,49,49,0.5015159945726395,-0.006411638259887664,0.5079276328325272,2.8926955697366415e-08,1.2192711826439944e-05,1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,191,191,0.1814717168426514,-0.01248114318847654,0.19395286003112794,1.8153393733130694e-05,0.005101103639009725,1
REACTOME_HSF1_ACTIVATION,15,15,0.4897460183811188,-0.004375171813964823,0.4941211901950836,0.00044539870714778033,0.0938677775313947,1
REACTOME_REGULATION_BY_C_FLIP,6,6,1.0456585180664062,-0.001581459960937448,1.0472399780273436,0.0015538332589884326,0.14554238192524985,1
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,7,7,-0.5720706420898436,0.0021413256835937644,-0.5742119677734374,0.0012107431620514808,0.14554238192524985,-1
REACTOME_INTERFERON_GAMMA_SIGNALING,24,24,0.49787460572958,-0.0017726953124999612,0.49964730104207994,0.001458247377205948,0.14554238192524985,1
REACTOME_ATTENUATION_PHASE,14,14,0.45646686954975135,-0.004331284179687478,0.46079815372943883,0.0009760486219914534,0.14554238192524985,1
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,33,33,0.30798499130249024,-0.005739185180664047,0.3137241764831543,0.0010528578742072298,0.14554238192524985,1
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,16,16,0.45646686954975135,-0.004331284179687478,0.46079815372943883,0.0018173026572863966,0.15319861400924323,1
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS,5,5,-0.6458673876953125,0.001690551452636746,-0.6475579391479492,0.0025803767362369383,0.1880026047509893,-1
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,29,29,0.28276204334259036,-0.005404538574218715,0.2881665819168091,0.0026761936619357904,0.1880026047509893,1
REACTOME_TNF_SIGNALING,9,9,0.46539069831848145,-0.0021373675537109116,0.46752806587219237,0.0034441998364849254,0.22334311247359936,1
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,6,6,-0.6622474670410156,0.0017224053955078311,-0.6639698724365234,0.00452011549442271,0.2721755258427389,-1
REACTOME_IRAK4_DEFICIENCY_TLR2_4,6,6,-1.0806675366210936,0.0016586975097656609,-1.0823262341308593,0.005109165375022764,0.28713509407627935,-1
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,8,8,-0.6935369848632812,0.0017224053955078311,-0.695259390258789,0.0068960181278523,0.305965435883131,-1
REACTOME_KERATINIZATION,8,8,-0.6935369848632812,0.0017224053955078311,-0.695259390258789,0.0068960181278523,0.305965435883131,-1
REACTOME_REGULATED_NECROSIS,15,15,0.5954828973388673,-0.0021373675537109116,0.5976202648925781,0.006375315255269448,0.305965435883131,1
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,19,19,-0.24346997924804686,0.0032950756835937733,-0.24676505493164064,0.005993881053849261,0.305965435883131,-1
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,17,17,0.32695839447021485,-0.0032105880737304526,0.33016898254394533,0.008005043970411546,0.3374126033528467,1
REACTOME_INNATE_IMMUNE_SYSTEM,212,212,0.1123508941650391,-0.010284462890624957,0.12263535705566406,0.008777030922189245,0.3523350984478825,1
REACTOME_COLLAGEN_FORMATION,16,16,-0.4405435668945312,0.0025602459716796977,-0.4431038128662109,0.010511984378786575,0.402800128696231,-1
REACTOME_MRNA_EDITING,5,5,0.9790881872558594,-0.001195230407714798,0.9802834176635742,0.0202355016367886,0.5138902783643918,1
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY,10,10,0.8327170840454101,-0.001581459960937448,0.8342985440063475,0.02717077531848849,0.5138902783643918,1
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DEATH_RECEPTORS_AND_LIGANDS,5,5,0.7937665119934083,-0.001195230407714798,0.794961742401123,0.024245559275977043,0.5138902783643918,1
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,7,7,-0.7524242919921875,0.000834441528320351,-0.7532587335205079,0.025876905959105384,0.5138902783643918,-1
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN,5,5,0.6721904109954835,-0.001195230407714798,0.6733856414031982,0.02121678564635884,0.5138902783643918,1
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE,5,5,0.6721904109954835,-0.001195230407714798,0.6733856414031982,0.02121678564635884,0.5138902783643918,1
REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS,11,11,0.5954828973388673,-0.0016770776367187046,0.597159974975586,0.014522711310846816,0.5138902783643918,1
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,7,7,-0.5262734960937501,0.000834441528320351,-0.5271079376220704,0.021012949317907478,0.5138902783643918,-1
REACTOME_SIGNALING_BY_EGFR_IN_CANCER,7,7,0.5017942662143707,-0.0021373675537109116,0.5039316337680817,0.021611801695244435,0.5138902783643918,1
REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING,5,5,0.4942332168865204,-0.0016770776367187046,0.4959102945232391,0.027879436821723832,0.5138902783643918,1
REACTOME_CELLULAR_HEXOSE_TRANSPORT,5,5,-0.4631522412109375,0.001690551452636746,-0.46484279266357426,0.02681461464327341,0.5138902783643918,-1
REACTOME_INFECTION_WITH_MYCOBACTERIUM_TUBERCULOSIS,6,6,0.4623190935516358,-0.0017726953124999612,0.46409178886413577,0.017006596392230205,0.5138902783643918,1
REACTOME_REGULATION_OF_TNFR1_SIGNALING,7,7,0.4454526113176346,-0.0016770776367187046,0.4471296889543533,0.016668547105649193,0.5138902783643918,1
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4,7,7,-0.44337449218749997,0.000834441528320351,-0.4442089337158203,0.027313250199362205,0.5138902783643918,-1
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,9,9,-0.4359759545898437,0.0021413256835937644,-0.43811728027343744,0.026339058815290372,0.5138902783643918,-1
REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA,13,13,0.36146115039825444,-0.0032105880737304526,0.36467173847198486,0.017254661579529058,0.5138902783643918,1
